time_s,flow_ml_s
0.0,0.046
0.01,0.0
0.02,0.114
0.03,0.144
0.04,0.0
0.05,0.0
0.06,0.028
0.07,0.0
0.08,0.011
0.09,0.0
0.1,0.152
0.11,0.14
0.12,0.037
0.13,0.2
0.14,0.104
0.15,0.0
0.16,0.098
0.17,0.0
0.18,0.183
0.19,0.048
0.2,0.033
0.21,0.0
0.22,0.254
0.23,0.053
0.24,0.017
0.25,0.034
0.26,0.172
0.27,0.153
0.28,0.166
0.29,0.174
0.3,0.437
0.31,0.061
0.32,0.052
0.33,0.013
0.34,0.234
0.35,0.318
0.36,0.138
0.37,0.036
0.38,0.046
0.39,0.274
0.4,0.295
0.41,0.273
0.42,0.099
0.43,0.241
0.44,0.231
0.45,0.255
0.46,0.36
0.47,0.271
0.48,0.348
0.49,0.264
0.5,0.306
0.51,0.366
0.52,0.061
0.53,0.24
0.54,0.226
0.55,0.21
0.56,0.273
0.57,0.548
0.58,0.203
0.59,0.487
0.6,0.099
0.61,0.31
0.62,0.394
0.63,0.468
0.64,0.496
0.65,0.518
0.66,0.357
0.67,0.349
0.68,0.558
0.69,0.41
0.7,0.258
0.71,0.289
0.72,0.332
0.73,0.555
0.74,0.512
0.75,0.605
0.76,0.448
0.77,0.547
0.78,0.628
0.79,0.498
0.8,0.624
0.81,0.468
0.82,0.524
0.83,0.532
0.84,0.421
0.85,0.685
0.86,0.553
0.87,0.637
0.88,0.719
0.89,0.726
0.9,0.77
0.91,0.668
0.92,0.631
0.93,0.695
0.94,0.466
0.95,0.514
0.96,0.545
0.97,0.606
0.98,0.828
0.99,0.645
1.0,0.736
1.01,1.001
1.02,0.765
1.03,0.942
1.04,0.704
1.05,0.826
1.06,0.728
1.07,0.832
1.08,1.022
1.09,0.651
1.1,0.988
1.11,0.972
1.12,0.861
1.13,0.746
1.14,0.988
1.15,0.911
1.16,1.039
1.17,1.021
1.18,1.272
1.19,1.01
1.2,0.906
1.21,1.101
1.22,1.121
1.23,1.306
1.24,1.242
1.25,1.184
1.26,1.365
1.27,0.981
1.28,1.078
1.29,1.05
1.3,1.145
1.31,1.012
1.32,1.328
1.33,1.214
1.34,1.042
1.35,1.125
1.36,1.34
