time_s,flow_ml_s
0.0,0.021619999999999997
0.01,0.0
0.02,0.053579999999999996
0.03,0.06767999999999999
0.04,0.0
0.05,0.0
0.06,0.01316
0.07,0.0
0.08,0.005169999999999999
0.09,0.0
0.1,0.07143999999999999
0.11,0.0658
0.12,0.01739
0.13,0.094
0.14,0.04887999999999999
0.15,0.0
0.16,0.04606
0.17,0.0
0.18,0.08600999999999999
0.19,0.02256
0.2,0.01551
0.21,0.0
0.22,0.11938
0.23,0.024909999999999998
0.24,0.00799
0.25,0.01598
0.26,0.08084
0.27,0.07190999999999999
0.28,0.07802
0.29,0.08177999999999999
0.3,0.20539
0.31,0.028669999999999998
0.32,0.024439999999999996
0.33,0.006109999999999999
0.34,0.10998
0.35,0.14945999999999998
0.36,0.06486
0.37,0.016919999999999998
0.38,0.021619999999999997
0.39,0.12878
0.4,0.13865
0.41,0.12831
0.42,0.04653
0.43,0.11327
0.44,0.10857
0.45,0.11985
0.46,0.1692
0.47,0.12737
0.48,0.16355999999999998
0.49,0.12408
0.5,0.14381999999999998
0.51,0.17201999999999998
0.52,0.028669999999999998
0.53,0.11279999999999998
0.54,0.10622
0.55,0.0987
0.56,0.12831
0.57,0.25756
0.58,0.09541
0.59,0.22888999999999998
0.6,0.04653
0.61,0.1457
0.62,0.18518
0.63,0.21996
0.64,0.23312
0.65,0.24345999999999998
0.66,0.16779
0.67,0.16402999999999998
0.68,0.26226
0.69,0.19269999999999998
0.7,0.12125999999999999
0.71,0.13582999999999998
0.72,0.15604
0.73,0.26085
0.74,0.24064
0.75,0.28435
0.76,0.21056
0.77,0.25709
0.78,0.29516
0.79,0.23406
0.8,0.29328
0.81,0.21996
0.82,0.24628
0.83,0.25004
0.84,0.19787
0.85,0.32195
0.86,0.25991000000000003
0.87,0.29939
0.88,0.33792999999999995
0.89,0.34121999999999997
0.9,0.3619
0.91,0.31396
0.92,0.29657
0.93,0.32664999999999994
0.94,0.21902
0.95,0.24158
0.96,0.25615
0.97,0.28481999999999996
0.98,0.38915999999999995
0.99,0.30315
1.0,0.34591999999999995
1.01,0.47046999999999994
1.02,0.35955
1.03,0.44273999999999997
1.04,0.33087999999999995
1.05,0.38821999999999995
1.06,0.34215999999999996
1.07,0.39103999999999994
1.08,0.48034
1.09,0.30597
1.1,0.46436
1.11,0.45683999999999997
1.12,0.40467
1.13,0.35062
1.14,0.46436
1.15,0.42817
1.16,0.48832999999999993
1.17,0.4798699999999999
1.18,0.5978399999999999
1.19,0.47469999999999996
1.2,0.42582
1.21,0.51747
1.22,0.52687
1.23,0.61382
1.24,0.5837399999999999
1.25,0.55648
1.26,0.64155
1.27,0.46107
1.28,0.50666
1.29,0.4935
1.3,0.53815
1.31,0.47563999999999995
1.32,0.62416
1.33,0.57058
1.34,0.48974
1.35,0.5287499999999999
1.36,0.6298
1.37,0.6735099999999999
1.38,0.76234
1.39,0.8342499999999999
1.4,0.66505
1.41,0.5733999999999999
1.42,0.50008
1.43,0.6768
1.44,0.60771
1.45,0.64296
1.46,0.6363800000000001
1.47,0.67727
1.48,0.7698599999999999
1.49,0.7129899999999999
1.5,0.6984199999999999
1.51,0.6439
1.52,0.6063
1.53,0.69748
1.54,0.7355499999999999
1.55,0.8718499999999999
1.56,0.7637499999999999
1.57,0.8319
1.58,0.73508
1.59,0.69419
1.6,0.7176899999999999
1.61,0.74213
1.62,0.9512799999999999
1.63,0.75106
1.64,0.87608
1.65,0.76093
1.66,0.8981699999999999
1.67,0.86762
1.68,0.83754
1.69,0.85352
1.7,0.81827
1.71,0.90381
1.72,0.8483499999999999
1.73,0.80229
1.74,0.8065199999999999
1.75,0.91697
1.76,1.0241299999999998
1.77,0.93248
1.78,0.9207299999999999
1.79,0.95739
1.8,1.03776
1.81,0.96961
1.82,0.9334199999999999
1.83,1.0485699999999998
1.84,1.0090899999999998
1.85,1.09557
1.86,1.0086199999999999
1.87,0.91791
1.88,0.91603
1.89,1.1374
1.9,1.1510299999999998
1.91,1.02554
1.92,1.01943
1.93,1.15808
1.94,0.98559
1.95,1.0090899999999998
1.96,1.1265899999999998
1.97,1.0617299999999998
1.98,1.0979199999999998
1.99,1.09557
2.0,1.1397499999999998
2.01,1.22388
2.02,1.1397499999999998
2.03,1.18769
2.04,1.00627
2.05,1.1562
2.06,1.1092
2.07,1.09134
2.08,1.1247099999999999
2.09,1.1717099999999998
2.1,1.269
2.11,1.11954
2.12,1.2243499999999998
2.13,1.19709
2.14,1.2172999999999998
2.15,1.32023
2.16,1.29626
2.17,1.3615899999999999
2.18,1.26571
2.19,1.2365699999999997
2.2,1.27934
2.21,1.32117
2.22,1.32587
2.23,1.2459699999999998
2.24,1.33809
2.25,1.35736
2.26,1.5279699999999998
2.27,1.4922499999999999
2.28,1.30895
2.29,1.3583
2.3,1.28451
2.31,1.3554799999999998
2.32,1.4287999999999998
2.33,1.50118
2.34,1.37428
2.35,1.38885
2.36,1.29297
2.37,1.4424299999999999
2.38,1.38838
2.39,1.43585
2.4,1.42081
2.41,1.4856699999999998
2.42,1.37804
2.43,1.4081199999999998
2.44,1.67132
2.45,1.44008
2.46,1.46311
2.47,1.6797799999999998
2.48,1.7648499999999998
2.49,1.48708
2.5,1.55335
2.51,1.6130399999999998
2.52,1.72067
2.53,1.5392499999999998
2.54,1.6012899999999999
2.55,1.6830699999999998
2.56,1.66897
2.57,1.62197
2.58,1.64876
2.59,1.57121
2.6,1.6614499999999999
2.61,1.66944
2.62,1.7145599999999999
2.63,1.66897
2.64,1.75122
2.65,1.79963
2.66,1.74887
2.67,1.7728399999999997
2.68,1.76203
2.69,1.7686099999999998
2.7,1.72772
2.71,1.81091
2.72,1.7921099999999999
2.73,1.95661
2.74,1.93029
2.75,1.8565
2.76,1.7859999999999998
2.77,1.77143
2.78,1.9439199999999999
2.79,1.88893
2.8,1.9143100000000002
2.81,1.7681399999999998
2.82,1.96648
2.83,1.94345
2.84,1.84381
2.85,1.89927
2.86,1.9613099999999999
2.87,1.9570799999999997
2.88,1.9429800000000002
2.89,1.9669499999999998
2.9,1.96648
2.91,2.00549
2.92,2.10936
2.93,1.8348799999999998
2.94,2.0097199999999997
2.95,2.0492
2.96,2.0684699999999996
2.97,2.03181
2.98,1.9448599999999998
2.99,2.1023099999999997
3.0,2.21182
3.01,1.99233
3.02,2.17187
3.03,2.09855
3.04,2.12816
3.05,2.06894
3.06,2.1300399999999997
3.07,2.256
3.08,2.21652
3.09,2.3081699999999996
3.1,2.2794999999999996
3.11,2.23861
3.12,2.3410699999999998
3.13,2.25976
3.14,2.2983
3.15,2.2296799999999997
3.16,2.26634
3.17,2.2231
3.18,2.35282
3.19,2.21088
3.2,2.36034
3.21,2.30253
3.22,2.40922
3.23,2.3908899999999997
3.24,2.4768999999999997
3.25,2.4111
3.26,2.25976
3.27,2.37679
3.28,2.31005
3.29,2.3669199999999995
3.3,2.52108
3.31,2.4707899999999996
3.32,2.3876
3.33,2.3763199999999998
3.34,2.4609199999999998
3.35,2.38431
3.36,2.4336599999999997
3.37,2.51403
3.38,2.5845299999999995
3.39,2.55727
3.4,2.3641
3.41,2.55821
3.42,2.55304
3.43,2.5882899999999998
3.44,2.68417
3.45,2.4360099999999996
3.46,2.55116
3.47,2.6456299999999997
3.48,2.5036899999999997
3.49,2.7302299999999997
3.5,2.66349
3.51,2.7086099999999997
3.52,2.61978
3.53,2.72882
3.54,2.75796
3.55,2.71049
3.56,2.72177
3.57,2.73587
3.58,2.6672499999999997
3.59,2.72929
3.6,2.7401
3.61,2.7894499999999995
3.62,2.84397
3.63,2.71049
3.64,2.7875699999999997
3.65,2.91259
3.66,2.7668899999999996
3.67,2.773
3.68,2.8566599999999998
3.69,2.91306
3.7,2.8660599999999996
3.71,2.9704
3.72,2.9487799999999997
3.73,2.95912
3.74,2.95019
3.75,3.0869599999999995
3.76,2.91964
3.77,2.8044899999999995
3.78,3.07051
3.79,2.93656
3.8,2.9882599999999995
3.81,3.0846099999999996
3.82,2.89097
3.83,2.9271599999999998
3.84,2.9139999999999997
3.85,2.98262
3.86,3.08132
3.87,3.0987099999999996
3.88,3.09307
3.89,2.98544
3.9,2.93374
3.91,3.1123399999999997
3.92,3.0869599999999995
3.93,3.16404
3.94,3.1931799999999995
3.95,3.16498
3.96,3.22044
3.97,3.19506
3.98,3.22796
3.99,3.15276
4.0,3.20117
4.01,3.2397099999999996
4.02,3.2951699999999997
4.03,3.22138
4.04,3.29799
4.05,3.25428
4.06,3.27637
4.07,3.35486
4.08,3.1677999999999997
4.09,3.2289
4.1,3.22749
4.11,3.17908
4.12,3.30786
4.13,3.42019
4.14,3.35909
4.15,3.40515
4.16,3.4798799999999996
4.17,3.5085499999999996
4.18,3.4220699999999997
4.19,3.53393
4.2,3.45685
4.21,3.4032699999999996
4.22,3.43241
4.23,3.3821199999999996
4.24,3.4356999999999998
4.25,3.4850499999999998
4.26,3.5785799999999997
4.27,3.6551899999999997
4.28,3.44839
4.29,3.5856299999999997
4.3,3.49633
4.31,3.61524
4.32,3.5846899999999997
4.33,3.47659
4.34,3.6833899999999997
4.35,3.5870399999999996
4.36,3.60396
4.37,3.5785799999999997
4.38,3.6194699999999997
4.39,3.70783
4.4,3.6763399999999997
4.41,3.7252199999999998
4.42,3.73932
4.43,3.8192199999999996
4.44,3.71394
4.45,3.6457899999999994
4.46,3.83708
4.47,3.7506
4.48,3.8648100000000003
4.49,3.8253299999999997
4.5,3.80089
4.51,3.84695
4.52,3.9719700000000002
4.53,3.99312
4.54,3.8634
4.55,3.8821999999999997
4.56,3.9588099999999997
4.57,3.8352
4.58,3.9306099999999997
4.59,3.91745
4.6,3.9531699999999996
4.61,3.88455
4.62,3.8431899999999994
4.63,3.82157
4.64,3.9010000000000002
4.65,3.95975
4.66,3.9832499999999995
4.67,4.15292
4.68,4.10639
4.69,3.9724399999999997
4.7,4.07725
4.71,4.035889999999999
4.72,4.05704
4.73,4.10216
4.74,4.1449300000000004
4.75,4.08947
4.76,4.20039
4.77,4.05704
4.78,4.150569999999999
4.79,4.345149999999999
4.8,4.190049999999999
4.81,4.2873399999999995
4.82,4.205089999999999
4.83,4.251619999999999
4.84,4.21919
4.85,4.22342
4.86,4.1924
4.87,4.29016
4.88,4.21167
4.89,4.331049999999999
4.9,4.37288
4.91,4.334339999999999
4.92,4.3004999999999995
4.93,4.36489
4.94,4.32353
4.95,4.42317
4.96,4.24034
4.97,4.3583099999999995
4.98,4.2535
4.99,4.3009699999999995
5.0,4.514819999999999
5.01,4.49367
5.02,4.39215
5.03,4.349379999999999
5.04,4.2582
5.05,4.4415
5.06,4.6624
5.07,4.53456
5.08,4.47675
5.09,4.56135
5.1,4.430689999999999
5.11,4.53221
5.12,4.572159999999999
5.13,4.57122
5.14,4.64548
5.15,4.6262099999999995
5.16,4.661459999999999
5.17,4.5778
5.18,4.701879999999999
5.19,4.7658
5.2,4.59472
5.21,4.613049999999999
5.22,4.7817799999999995
5.23,4.68637
5.24,4.811389999999999
5.25,4.69342
5.26,4.839119999999999
5.27,4.75828
5.28,4.77943
5.29,4.88377
5.3,4.76016
5.31,4.73149
5.32,4.77849
5.33,4.854159999999999
5.34,4.7244399999999995
5.35,4.89176
5.36,4.82126
5.37,4.95239
5.38,4.71504
5.39,4.840529999999999
5.4,4.7893
5.41,4.86215
5.42,4.9500399999999996
5.43,4.93218
5.44,4.93923
5.45,4.958029999999999
5.46,4.995629999999999
