time_s,flow_ml_s
0.0,3.0
0.01,3.023
0.02,3.045
0.03,3.068
0.04,3.091
0.05,3.113
0.06,3.136
0.07,3.159
0.08,3.181
0.09,3.204
0.1,3.227
0.11,3.249
0.12,3.272
0.13,3.295
0.14,3.317
0.15,3.34
0.16,3.363
0.17,3.385
0.18,3.408
0.19,3.431
0.2,3.453
0.21,3.476
0.22,3.499
0.23,3.521
0.24,3.544
0.25,3.567
0.26,3.589
0.27,3.612
0.28,3.635
0.29,3.657
0.3,3.68
0.31,3.703
0.32,3.725
0.33,3.748
0.34,3.771
0.35,3.793
0.36,3.816
0.37,3.839
0.38,3.861
0.39,3.884
0.4,3.907
0.41,3.929
0.42,3.952
0.43,3.975
0.44,3.997
0.45,4.02
0.46,4.043
0.47,4.065
0.48,4.088
0.49,4.111
0.5,4.133
0.51,4.156
0.52,4.179
0.53,4.201
0.54,4.224
0.55,4.247
0.56,4.269
0.57,4.292
0.58,4.315
0.59,4.337
0.6,4.36
0.61,4.383
0.62,4.405
0.63,4.428
0.64,4.451
0.65,4.473
0.66,4.496
0.67,4.519
0.68,4.541
0.69,4.564
0.7,4.587
0.71,4.609
0.72,4.632
0.73,4.655
0.74,4.677
0.75,4.7
0.76,4.723
0.77,4.745
0.78,4.768
0.79,4.791
0.8,4.813
0.81,4.836
0.82,4.859
0.83,4.881
0.84,4.904
0.85,4.927
0.86,4.949
0.87,4.972
0.88,4.995
0.89,5.017
0.9,5.04
0.91,5.063
0.92,5.085
0.93,5.108
0.94,5.131
0.95,5.153
0.96,5.176
0.97,5.199
0.98,5.221
0.99,5.244
1.0,5.267
1.01,5.289
1.02,5.312
1.03,5.335
1.04,5.357
1.05,5.38
1.06,5.403
1.07,5.425
1.08,5.448
1.09,5.471
1.1,5.493
1.11,5.516
1.12,5.539
1.13,5.561
1.14,5.584
1.15,5.607
1.16,5.629
1.17,5.652
1.18,5.675
1.19,5.697
1.2,5.72
1.21,5.743
1.22,5.765
1.23,5.788
1.24,5.811
1.25,5.833
1.26,5.856
1.27,5.879
1.28,5.901
1.29,5.924
1.3,5.947
1.31,5.969
1.32,5.992
1.33,6.015
1.34,6.037
1.35,6.06
1.36,6.083
1.37,6.105
1.38,6.128
1.39,6.151
1.4,6.173
1.41,6.196
1.42,6.219
1.43,6.241
1.44,6.264
1.45,6.287
1.46,6.309
1.47,6.332
1.48,6.355
1.49,6.377
1.5,6.4
1.51,6.423
1.52,6.445
1.53,6.468
1.54,6.491
1.55,6.513
1.56,6.536
1.57,6.559
1.58,6.581
1.59,6.604
1.6,6.627
1.61,6.649
1.62,6.672
1.63,6.695
1.64,6.717
1.65,6.74
1.66,6.763
1.67,6.785
1.68,6.808
1.69,6.831
1.7,6.853
1.71,6.876
1.72,6.899
1.73,6.921
1.74,6.944
1.75,6.967
1.76,6.989
1.77,7.012
1.78,7.035
1.79,7.057
1.8,7.08
1.81,7.103
1.82,7.125
1.83,7.148
1.84,7.171
1.85,7.193
1.86,7.216
1.87,7.239
1.88,7.261
1.89,7.284
1.9,7.307
1.91,7.329
1.92,7.352
1.93,7.375
1.94,7.397
1.95,7.42
1.96,7.443
1.97,7.465
1.98,7.488
1.99,7.511
2.0,7.533
2.01,7.556
2.02,7.579
2.03,7.601
2.04,7.624
2.05,7.647
2.06,7.669
2.07,7.692
2.08,7.715
2.09,7.737
2.1,7.76
2.11,7.783
2.12,7.805
2.13,7.828
2.14,7.851
2.15,7.873
2.16,7.896
2.17,7.919
2.18,7.941
2.19,7.964
2.2,7.987
2.21,8.009
2.22,8.032
2.23,8.055
2.24,8.077
2.25,8.1
2.26,8.123
2.27,8.145
2.28,8.168
2.29,8.191
2.3,8.213
2.31,8.236
2.32,8.259
2.33,8.281
2.34,8.304
2.35,8.327
2.36,8.349
2.37,8.372
2.38,8.395
2.39,8.417
2.4,8.44
2.41,8.463
2.42,8.485
2.43,8.508
2.44,8.531
2.45,8.553
2.46,8.576
2.47,8.599
2.48,8.621
2.49,8.644
2.5,8.667
2.51,8.689
2.52,8.712
2.53,8.735
2.54,8.757
2.55,8.78
2.56,8.803
2.57,8.825
2.58,8.848
2.59,8.871
2.6,8.893
2.61,8.916
2.62,8.939
2.63,8.961
2.64,8.984
2.65,9.007
2.66,9.029
2.67,9.052
2.68,9.075
2.69,9.097
2.7,9.12
2.71,9.143
2.72,9.165
2.73,9.188
2.74,9.211
2.75,9.233
2.76,9.256
2.77,9.279
2.78,9.301
2.79,9.324
2.8,9.347
2.81,9.369
2.82,9.392
2.83,9.415
2.84,9.437
2.85,9.46
2.86,9.483
2.87,9.505
2.88,9.528
2.89,9.551
2.9,9.573
2.91,9.596
2.92,9.619
2.93,9.641
2.94,9.664
2.95,9.687
2.96,9.709
2.97,9.732
2.98,9.755
2.99,9.777
3.0,9.8
3.01,9.823
3.02,9.845
3.03,9.868
3.04,9.891
3.05,9.913
3.06,9.936
3.07,9.959
3.08,9.981
3.09,10.004
3.1,10.027
3.11,10.049
3.12,10.072
3.13,10.095
3.14,10.117
3.15,10.14
3.16,10.163
3.17,10.185
3.18,10.208
3.19,10.231
3.2,10.253
3.21,10.276
3.22,10.299
3.23,10.321
3.24,10.344
3.25,10.367
3.26,10.389
3.27,10.412
3.28,10.435
3.29,10.457
3.3,10.48
3.31,10.503
3.32,10.525
3.33,10.548
3.34,10.571
3.35,10.593
3.36,10.616
3.37,10.639
3.38,10.661
3.39,10.684
3.4,10.707
3.41,10.729
3.42,10.752
3.43,10.775
3.44,10.797
3.45,10.82
3.46,10.843
3.47,10.865
3.48,10.888
3.49,10.911
3.5,10.933
3.51,10.956
3.52,10.979
3.53,11.001
3.54,11.024
3.55,11.047
3.56,11.069
3.57,11.092
3.58,11.115
3.59,11.137
3.6,11.16
3.61,11.183
3.62,11.205
3.63,11.228
3.64,11.251
3.65,11.273
3.66,11.296
3.67,11.319
3.68,11.341
3.69,11.364
3.7,11.387
3.71,11.409
3.72,11.432
3.73,11.455
3.74,11.477
3.75,11.5
3.76,11.523
3.77,11.545
3.78,11.568
3.79,11.591
3.8,11.613
3.81,11.636
3.82,11.659
3.83,11.681
3.84,11.704
3.85,11.727
3.86,11.749
3.87,11.772
3.88,11.795
3.89,11.817
3.9,11.84
3.91,11.863
3.92,11.885
3.93,11.908
3.94,11.931
3.95,11.953
3.96,11.976
3.97,11.999
3.98,12.021
3.99,12.044
4.0,12.067
4.01,12.089
4.02,12.112
4.03,12.135
4.04,12.157
4.05,12.18
4.06,12.203
4.07,12.225
4.08,12.248
4.09,12.271
4.1,12.293
4.11,12.316
4.12,12.339
4.13,12.361
4.14,12.384
4.15,12.407
4.16,12.429
4.17,12.452
4.18,12.475
4.19,12.497
4.2,12.52
4.21,12.543
4.22,12.565
4.23,12.588
4.24,12.611
4.25,12.633
4.26,12.656
4.27,12.679
4.28,12.701
4.29,12.724
4.3,12.747
4.31,12.769
4.32,12.792
4.33,12.815
4.34,12.837
4.35,12.86
4.36,12.883
4.37,12.905
4.38,12.928
4.39,12.951
4.4,12.973
4.41,12.996
4.42,13.019
4.43,13.041
4.44,13.064
4.45,13.087
4.46,13.109
4.47,13.132
