time_s,flow_ml_s
0.0,0.043
0.01,0.0
0.02,0.061
0.03,0.0
0.04,0.044
0.05,0.0
0.06,0.0
0.07,0.0
0.08,0.096
0.09,0.059
0.1,0.005
0.11,0.135
0.12,0.0
0.13,0.008
0.14,0.0
0.15,0.143
0.16,0.044
0.17,0.0
0.18,0.0
0.19,0.166
0.2,0.0
0.21,0.011
0.22,0.353
0.23,0.12
0.24,0.242
0.25,0.0
0.26,0.161
0.27,0.004
0.28,0.055
0.29,0.303
0.3,0.0
0.31,0.003
0.32,0.0
0.33,0.133
0.34,0.0
0.35,0.153
0.36,0.0
0.37,0.082
0.38,0.0
0.39,0.11
0.4,0.864
0.41,0.811
0.42,0.859
0.43,0.816
0.44,1.096
0.45,0.841
0.46,0.987
0.47,1.107
0.48,1.328
0.49,1.115
0.5,1.111
0.51,1.22
0.52,0.901
0.53,1.066
0.54,1.224
0.55,1.208
0.56,1.111
0.57,1.516
0.58,1.464
0.59,1.485
0.6,1.399
0.61,1.555
0.62,1.662
0.63,1.587
0.64,1.736
0.65,1.594
0.66,1.773
0.67,1.976
0.68,2.036
0.69,2.098
0.7,1.991
0.71,2.003
0.72,1.982
0.73,1.83
0.74,1.953
0.75,2.184
0.76,2.248
0.77,2.533
0.78,2.576
0.79,2.335
0.8,2.62
0.81,2.487
0.82,2.724
0.83,2.806
0.84,2.937
0.85,2.743
0.86,3.036
0.87,2.672
0.88,3.218
0.89,3.091
0.9,3.167
0.91,2.936
0.92,3.259
0.93,3.598
0.94,3.409
0.95,3.66
0.96,3.639
0.97,3.876
0.98,3.83
0.99,3.747
1.0,3.982
1.01,4.303
1.02,4.228
1.03,4.227
1.04,4.677
1.05,4.607
1.06,4.652
1.07,4.675
1.08,4.837
1.09,4.943
1.1,4.604
1.11,5.096
1.12,5.119
1.13,5.176
1.14,5.331
1.15,5.238
1.16,5.314
1.17,5.887
1.18,5.885
1.19,5.572
1.2,5.968
1.21,6.308
1.22,6.258
1.23,6.612
1.24,6.709
1.25,6.477
1.26,6.79
1.27,6.877
1.28,6.87
1.29,6.996
1.3,7.231
1.31,7.396
1.32,7.676
1.33,7.934
1.34,7.999
1.35,8.182
1.36,8.178
1.37,8.459
1.38,8.499
1.39,8.61
1.4,9.117
1.41,8.641
1.42,8.869
1.43,9.369
1.44,9.436
1.45,9.425
1.46,9.65
1.47,9.838
1.48,10.282
1.49,10.503
1.5,10.741
1.51,10.433
1.52,10.644
1.53,10.814
1.54,11.404
1.55,11.457
1.56,11.591
1.57,11.801
1.58,11.946
1.59,11.977
1.6,12.414
1.61,12.502
1.62,12.546
1.63,13.009
1.64,13.057
1.65,13.355
1.66,13.504
1.67,13.86
1.68,13.964
1.69,14.005
1.7,14.393
1.71,14.608
1.72,14.842
1.73,15.133
1.74,15.099
1.75,15.506
1.76,15.364
1.77,15.822
1.78,16.018
1.79,16.496
1.8,16.477
1.81,16.814
1.82,16.683
1.83,17.119
1.84,17.271
1.85,17.996
1.86,17.753
1.87,18.093
1.88,18.331
1.89,18.304
1.9,18.696
1.91,19.068
1.92,19.254
1.93,19.13
1.94,19.625
1.95,20.099
1.96,20.27
1.97,20.601
1.98,20.508
1.99,21.086
2.0,21.125
2.01,21.609
2.02,21.61
2.03,21.542
2.04,22.216
2.05,22.262
2.06,22.512
2.07,22.59
2.08,23.291
2.09,23.21
2.1,23.765
2.11,23.703
2.12,23.869
2.13,24.445
2.14,24.476
2.15,24.716
2.16,24.772
2.17,25.134
2.18,25.504
2.19,25.482
2.2,25.833
2.21,26.087
2.22,26.395
2.23,26.841
2.24,26.808
2.25,26.982
2.26,27.729
2.27,27.483
2.28,27.749
2.29,27.952
2.3,28.192
