time_s,flow_ml_s
0.0,0.0
0.01,0.0
0.02,0.0
0.03,0.106
0.04,0.0
0.05,0.0
0.06,0.0
0.07,0.0
0.08,0.0
0.09,0.0
0.1,0.0
0.11,0.0
0.12,0.023
0.13,0.0
0.14,0.222
0.15,0.073
0.16,0.0
0.17,0.014
0.18,0.019
0.19,0.182
0.2,0.0
0.21,0.115
0.22,0.006
0.23,0.224
0.24,0.194
0.25,0.03
0.26,0.0
0.27,0.873
0.28,0.794
0.29,1.097
0.3,0.88
0.31,0.83
0.32,0.845
0.33,0.754
0.34,1.042
0.35,0.857
0.36,1.167
0.37,0.83
0.38,1.064
0.39,1.238
0.4,0.764
0.41,1.409
0.42,1.063
0.43,1.168
0.44,1.252
0.45,1.295
0.46,1.246
0.47,1.374
0.48,1.321
0.49,1.525
0.5,1.358
0.51,1.592
0.52,1.451
0.53,1.062
0.54,1.742
0.55,1.282
0.56,1.609
0.57,1.406
0.58,1.578
0.59,1.333
0.6,1.546
0.61,1.431
0.62,1.722
0.63,4.066
0.64,4.14
0.65,3.675
0.66,3.987
0.67,4.062
0.68,4.034
0.69,4.144
0.7,3.945
0.71,4.007
0.72,4.177
0.73,3.658
0.74,4.088
0.75,3.95
0.76,3.863
0.77,4.05
0.78,4.184
0.79,4.156
0.8,3.98
0.81,4.131
0.82,4.13
0.83,3.987
0.84,3.896
0.85,3.905
0.86,4.126
0.87,3.994
0.88,3.843
0.89,3.747
0.9,4.125
0.91,3.918
0.92,4.05
0.93,4.186
0.94,3.804
0.95,3.993
0.96,3.974
0.97,4.057
0.98,4.186
0.99,3.801
1.0,4.085
1.01,4.155
1.02,3.972
1.03,3.979
1.04,4.063
1.05,4.052
1.06,4.087
1.07,4.084
1.08,3.853
1.09,4.149
1.1,4.175
1.11,4.028
1.12,3.776
1.13,3.983
1.14,4.029
1.15,3.828
1.16,3.946
1.17,3.789
1.18,4.091
1.19,4.025
1.2,3.753
1.21,4.053
1.22,3.992
1.23,4.077
1.24,3.941
1.25,3.88
1.26,3.884
1.27,3.919
1.28,4.003
1.29,4.022
1.3,3.971
1.31,3.937
1.32,3.947
1.33,4.376
1.34,3.884
1.35,3.916
1.36,4.494
1.37,4.063
1.38,3.793
1.39,4.126
1.4,3.863
1.41,4.136
1.42,3.968
1.43,3.934
1.44,4.241
1.45,4.085
1.46,4.146
1.47,4.065
1.48,3.933
1.49,4.092
1.5,4.181
1.51,4.02
1.52,4.27
1.53,4.128
1.54,4.032
1.55,4.038
1.56,4.021
1.57,3.812
1.58,3.986
1.59,4.033
1.6,3.938
1.61,4.051
1.62,4.003
1.63,4.116
1.64,4.099
1.65,4.025
1.66,3.795
1.67,4.269
1.68,3.979
1.69,3.988
